bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]  sum  +=  Math.random();  [BUGGY]  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	sum  +=  Math.random();	sum  +=  Math.abs(a);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	13	2
123	[BUG]  [BUGGY]    sum  -=  Math.sqrt(a);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  -=  Math.sqrt(a);  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	replace	    sum  -=  Math.sqrt(a);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	6	2	add
123	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  =  Math.sqrt(a);  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	add	    sum  =  Math.sqrt(a);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	6	2
124	[BUG]  [BUGGY]    sum  =  Math.sqrt(a);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  =  Math.sqrt(a);  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	replace	    sum  =  Math.sqrt(a);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	6	2	add
124	[BUG]  [BUGGY]    sum  -=  Math.sqrt(data);  [CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  -=  Math.sqrt(data);  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	replace	    sum  -=  Math.sqrt(data);		non-compiled	[CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;	6	None	add
125	[BUG]  [BUGGY]    sum  +=  Math.sqrt(data);  [CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  +=  Math.sqrt(data);  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	replace	    sum  +=  Math.sqrt(data);		non-compiled	[CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;	6	None	add
131	[BUG]  [BUGGY]    double[]  data  =  this.data.getNorm();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  this.data.getNorm();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  this.data.getNorm();		non-compiled	[CE]  cannot  find  symbol	2	None	add
132	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  getDataItemCount();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	2	None	add
133	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	add	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	2	2
134	[BUG]  [BUGGY]    double[]  data  =  getDataRef();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	2	2	add
134	[BUG]  [BUGGY]    double[]  data  =  this.data.getNorm();  if(data!=  null)  {  throw  new  IllegalArgumentException( " ");  }  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  this.data.getNorm();  if(data!=  null)  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  this.data.getNorm();  if(data!=  null)  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  cannot  find  symbol	2	None	add
135	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  getDataItemCount()  /  2.0;		non-compiled	[CE]  cannot  find  symbol	2	None	add
141	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataItemCount();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	20	None	add
142	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	add	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	20	2
143	[BUG]  [BUGGY]    double[]  data  =  getDataRef();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	20	2	add
143	[BUG]  [BUGGY]    double[]  data  =  this.data.getLength();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  this.data.getLength();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  this.data.getLength();		non-compiled	[CE]  cannot  find  symbol	20	None	add
144	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  getDataItemCount()  /  2.0;		non-compiled	[CE]  cannot  find  symbol	20	None	add
145	[BUG]  [BUGGY]    double[]  data  =  getDataRef().values();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataRef().values();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  getDataRef().values();		non-compiled	[CE]  cannot  find  symbol	20	None	add
151	[BUG]  [BUGGY]  return  Math.sqrt(a);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(a);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(a);	return  Math.sqrt(sum);  	non-compiled	[CE]  cannot  find  symbol  a	7	None	replace
152	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.rint(sum);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	add	return  Math.rint(sum);	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2
153	[BUG]  [BUGGY]  return  Math.rint(sum);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.rint(sum);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.rint(sum);	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2	replace
153	[BUG]  [BUGGY]  return  Math.sin(a);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sin(a);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sin(a);	return  Math.sqrt(sum);  	non-compiled	[CE]  cannot  find  symbol  a	7	None	replace
154	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.random();  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	add	return  Math.random();	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2
155	[BUG]  [BUGGY]  return  Math.random();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.random();  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.random();	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2	replace
161	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =  1;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	add	double  sum  =  1;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2
162	[BUG]  [BUGGY]  double  sum  =  1;  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =  1;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	double  sum  =  1;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2	replace
163	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =(data!=  null)?  0  :  data.length;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	add	double  sum  =(data!=  null)?  0  :  data.length;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2
164	[BUG]  [BUGGY]  double  sum  =(data!=  null)?  0  :  data.length;  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =(data!=  null)?  0  :  data.length;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	double  sum  =(data!=  null)?  0  :  data.length;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2	replace
164	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =(data  ==  null)?  0  :  data.length;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	add	double  sum  =(data  ==  null)?  0  :  data.length;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2
165	[BUG]  [BUGGY]  double  sum  =(data  ==  null)?  0  :  data.length;  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]  double  sum  =(data  ==  null)?  0  :  data.length;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	double  sum  =(data  ==  null)?  0  :  data.length;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	9	2	replace
165	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  sum  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	  	double  sum  =  0;  	non-compiled	[CE]  cannot  find  symbol  sum	9	None	replace
171	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  getDataItemCount();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	10	None	add
172	[BUG]  [BUGGY]    double[]  data  =  this.data.getL1();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  this.data.getL1();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  this.data.getL1();		non-compiled	[CE]  cannot  find  symbol	10	None	add
173	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	add	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	10	2
