projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.BOTTOM,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mLocale,TimeZone.SHORT,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mLocale,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.LONG,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mStyle,TimeZone.SHORT,mMinLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mDaylight,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.MILLIS,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMinLengthEstimate,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mStyle,TimeZone.SHORT,mMinLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.BOTTOM,Token.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.MILLIS,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mRule,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.SHORT,mStyle);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mColon,TimeZone.LONG,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mColon,TimeZone.LONG,mDaylight);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.LONG,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.LONG,2);
