bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
61	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	add	private  static  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();	private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	6	1
62	[BUG]  [BUGGY]  private  static  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	private  static  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();	private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	6	1	replace
63	[BUG]  [BUGGY]  private  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  private  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	private  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();	private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  	non-compiled	[CE]  cannot  find  symbol	6	None	replace
64	[BUG]  [BUGGY]  private  static  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  private  static  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	private  static  final  List  <  Object>  requiredOpts  =  new  LinkedList  <  Object>();	private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  	non-compiled	[CE]  cannot  find  symbol	6	None	replace
65	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  requiredOpts  [CONTEXT]    [BUGGY]    [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	  	private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  	non-compiled	[CE]  cannot  find  symbol  requiredOpts	6	None	replace
71	[BUG]  [BUGGY]    optionGroups.put(group.getKey(),  group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    optionGroups.put(group.getKey(),  group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    optionGroups.put(group.getKey(),  group);		non-compiled	[CE]  cannot  find  symbol	15	None	add
72	[BUG]  [BUGGY]    optionGroups.put(option.getKey(),  group);  [CE]  cannot  find  symbol  option  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    optionGroups.put(option.getKey(),  group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    optionGroups.put(option.getKey(),  group);		non-compiled	[CE]  cannot  find  symbol  option	15	None	add
73	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    requiredOpts.add(group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	add	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1
74	[BUG]  [BUGGY]    requiredOpts.add(group);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    requiredOpts.add(group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1	add
74	[BUG]  [BUGGY]    group.setRequired(true);  addOption(group);  [CE]  no  suitable  method  found  for  addOption(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setRequired(true);  addOption(group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    group.setRequired(true);  addOption(group);		non-compiled	[CE]  no  suitable  method  found  for  addOption(OptionGroup)	15	None	add
75	[BUG]  [BUGGY]    group.setKey(false);  addOption(group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setKey(false);  addOption(group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    group.setKey(false);  addOption(group);		non-compiled	[CE]  cannot  find  symbol	15	None	add
83	[BUG]  [BUGGY]  setOption(option);  [CE]  cannot  find  symbol  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]  setOption(option);  [BUGGY]    optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	setOption(option);	addOption(option);  	non-compiled	[CE]  cannot  find  symbol	18	None	replace
84	[BUG]  [BUGGY]  setRequired(false);  [CE]  cannot  find  symbol  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]  setRequired(false);  [BUGGY]    optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	setRequired(false);	addOption(option);  	non-compiled	[CE]  cannot  find  symbol	18	None	replace
91	[BUG]  [BUGGY]    return(List  <  Object>)requiredOpts.toArray(new  ArrayList  <  Object>());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return(List  <  Object>)requiredOpts.toArray(new  ArrayList  <  Object>());  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    return(List  <  Object>)requiredOpts.toArray(new  ArrayList  <  Object>());		non-compiled	[CE]  illegal  start  of  type	7	None	add
92	[BUG]  [BUGGY]    requiredOpts  =  new  ArrayList  <  Object>();  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    requiredOpts  =  new  ArrayList  <  Object>();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    requiredOpts  =  new  ArrayList  <  Object>();		non-compiled	[CE]  <identifier>  expected	7	None	add
93	[BUG]  [BUGGY]    return(List  <  Object>)requiredOpts.values();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return(List  <  Object>)requiredOpts.values();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    return(List  <  Object>)requiredOpts.values();		non-compiled	[CE]  illegal  start  of  type	7	None	add
94	[BUG]  [BUGGY]    return(List  <  Object>)requiredOpts.toArray(new  LinkedList  <  Object>());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return(List  <  Object>)requiredOpts.toArray(new  LinkedList  <  Object>());  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    return(List  <  Object>)requiredOpts.toArray(new  LinkedList  <  Object>());		non-compiled	[CE]  illegal  start  of  type	7	None	add
95	[BUG]  [BUGGY]    return  new  ArrayList  <  Object>();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  ArrayList  <  Object>();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    return  new  ArrayList  <  Object>();		non-compiled	[CE]  illegal  start  of  type	7	None	add
101	[BUG]  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.add(option);  }  [CE]  ';'  expected  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.add(option);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.add(option);  }		non-compiled	[CE]  ';'  expected	11	None	add
102	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	    if(group.isRequired())  {  requiredOpts.add(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	11	1
103	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  requiredOpts.add(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	11	1	add
103	[BUG]  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.clear();  }  [CE]  ';'  expected  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.clear();  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.clear();  }		non-compiled	[CE]  ';'  expected	11	None	add
104	[BUG]  [BUGGY]    group.setOptions(false);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    group.setOptions(false);  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    group.setOptions(false);		non-compiled	[CE]  cannot  find  symbol	11	None	add
105	[BUG]  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.remove(option);  }  [CE]  ';'  expected  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.remove(option);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  requiredOpts.remove(option);  }		non-compiled	[CE]  ';'  expected	11	None	add
111	[BUG]  [BUGGY]    return  new  HashMap  <  String,  OptionGroup>();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  HashMap  <  String,  OptionGroup>();  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  new  HashMap  <  String,  OptionGroup>();		non-compiled	[CE]  illegal  start  of  type	9	None	add
113	[BUG]  [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups);  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  new  HashMap  <  String,  OptionGroup>(optionGroups);		non-compiled	[CE]  illegal  start  of  type	9	None	add
115	[BUG]  [BUGGY]    return  optionGroups.values();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  optionGroups.values();  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  optionGroups.values();		non-compiled	[CE]  illegal  start  of  type	9	None	add
122	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	add	private  static  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1
123	[BUG]  [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	private  static  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1	replace
123	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	add	private  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1
124	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	private  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1	replace
124	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	add	private  static  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1
125	[BUG]  [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	private  static  final  Map  <  String,  Option>  longOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	4	1	replace
125	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  longOpts  [CONTEXT]    [BUGGY]    [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	  	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  cannot  find  symbol  longOpts	4	None	replace
131	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    optionGroups.put(option.getKey(),  group);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    optionGroups.put(option.getKey(),  group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
132	[BUG]  [BUGGY]    optionGroups.put(option.getKey(),  group);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    optionGroups.put(option.getKey(),  group);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    optionGroups.put(option.getKey(),  group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
132	[BUG]  [BUGGY]    option.setShortOpts(false);  [CE]  cannot  find  symbol  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setShortOpts(false);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    option.setShortOpts(false);		non-compiled	[CE]  cannot  find  symbol	21	None	add
133	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
134	[BUG]  [BUGGY]    requiredOpts.add(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
