bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {    [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;  [BUGGY]  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	173	173	1	add	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	12	1
123	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {    [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	173	173	1	add	    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	12	1
124	[BUG]  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {    [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	173	173	1	replace	    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	12	1	add
125	[BUG]  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a)));  [CE]  ';'  expected  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {    [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a)));  [BUGGY]  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	173	173	1	replace	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a)));		non-compiled	[CE]  ';'  expected	12	None	add
144	[BUG]  [BUGGY]  }  else  if(a  >=  1.0  &&  x  >  A)  {  [CE]  cannot  find  symbol  A  [CONTEXT]  {  double  ret;  if  (Double.isNaN(a)  ||  Double.isNaN(x)  ||  (a  <=  0.0)  ||  (x  <  0.0))  {  ret  =  Double.NaN;  }  else  if  (x  ==  0.0)  {  ret  =  0.0;  [BUGGY]  }  else  if(a  >=  1.0  &&  x  >  A)  {  [BUGGY]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	162	162	1	replace	}  else  if(a  >=  1.0  &&  x  >  A)  {	}  else  if  (a  >=  1.0  &&  x  >  a)  {  	non-compiled	[CE]  cannot  find  symbol  A	1	None	replace
163	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  [BUGGY]  an  =  an  *(x  /(an  +  n));  [BUGGY]    sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	174	174	1	add	an  =  an  *(x  /(an  +  n));	an  =  an  *  (x  /  (a  +  n));  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	13	1
164	[BUG]  [BUGGY]  an  =  an  *(x  /(an  +  n));  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  [BUGGY]  an  =  an  *(x  /(an  +  n));  [BUGGY]    sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	174	174	1	replace	an  =  an  *(x  /(an  +  n));	an  =  an  *  (x  /  (a  +  n));  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	13	1	replace
181	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1
182	[BUG]  [BUGGY]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1	add
182	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1
183	[BUG]  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	    ret  =  1.0  /  regularizedGammaQ(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1	add
183	[BUG]  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a)));  [CE]  ';'  expected  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a)));  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a)));		non-compiled	[CE]  ';'  expected	10	None	add
184	[BUG]  [BUGGY]  [FE]  StackOverflowError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaP(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	    ret  =  1.0  /  regularizedGammaP(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  StackOverflowError  testRegularizedGammaPositivePositive	10	1
185	[BUG]  [BUGGY]    ret  =  1.0  /  regularizedGammaP(a,  x,  epsilon,  maxIterations);  [FE]  StackOverflowError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaP(a,  x,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	    ret  =  1.0  /  regularizedGammaP(a,  x,  epsilon,  maxIterations);		compilable	  [FE]  StackOverflowError  testRegularizedGammaPositivePositive	10	1	add
185	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	    ret  =  1.0  /  regularizedGammaQ(x,  an,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1
186	[BUG]  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    ret  =  1.0  /  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [BUGGY]  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	    ret  =  1.0  /  regularizedGammaQ(x,  an,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	10	1	add
203	[BUG]  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  maximumIterations)  {  [CE]  cannot  find  symbol  maximumIterations  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  maximumIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	while(Math.abs(an)>  epsilon  &&  n  <  maximumIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	non-compiled	[CE]  cannot  find  symbol  maximumIterations	9	None	replace
204	[BUG]  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  minIterations)  {  [CE]  cannot  find  symbol  minIterations  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  minIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	while(Math.abs(an)>  epsilon  &&  n  <  minIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	non-compiled	[CE]  cannot  find  symbol  minIterations	9	None	replace
221	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]    sum  =  sum  +  Math.log(a)/  HALF_LOG_2_PI;  [BUGGY]  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	add	    sum  =  sum  +  Math.log(a)/  HALF_LOG_2_PI;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	20	1
222	[BUG]  [BUGGY]    sum  =  sum  +  Math.log(a)/  HALF_LOG_2_PI;  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]    sum  =  sum  +  Math.log(a)/  HALF_LOG_2_PI;  [BUGGY]  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	replace	    sum  =  sum  +  Math.log(a)/  HALF_LOG_2_PI;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	20	1	add
