bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPropertyOptionGroup  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]  requiredOptions.clear();  [BUGGY]  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	add	requiredOptions.clear();	updateRequiredOptions(opt);  	compilable	  [FE]  AssertionFailedError  testPropertyOptionGroup	19	9
102	[BUG]  [BUGGY]    requiredOptions.remove(opt);  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    requiredOptions.remove(opt);  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    requiredOptions.remove(opt);		non-compiled	[CE]  	16	None	add
103	[BUG]  [BUGGY]    cmd.addOption(opt);  requiredOptions.remove(value);  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    cmd.addOption(opt);  requiredOptions.remove(value);  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    cmd.addOption(opt);  requiredOptions.remove(value);		non-compiled	[CE]  	16	None	add
105	[BUG]  [BUGGY]    cmd.addOption(opt);  requiredOptions.remove(option);  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    cmd.addOption(opt);  requiredOptions.remove(option);  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    cmd.addOption(opt);  requiredOptions.remove(option);		non-compiled	[CE]  	16	None	add
111	[BUG]  [BUGGY]    properties.add(opt);  [CE]  cannot  find  symbol  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]    properties.add(opt);  [BUGGY]  String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	replace	    properties.add(opt);		non-compiled	[CE]  cannot  find  symbol	4	None	add
112	[BUG]  [BUGGY]    Properties  properties  =  options.getProperty(option);  [CE]  variable  properties  is  already  defined  in  method  processProperties(Properties)  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]    Properties  properties  =  options.getProperty(option);  [BUGGY]  String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	replace	    Properties  properties  =  options.getProperty(option);		non-compiled	[CE]  variable  properties  is  already  defined  in  method  processProperties(Properties)	4	None	add
114	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]    options.addOption(opt);  [BUGGY]  String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	add	    options.addOption(opt);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	4	9
115	[BUG]  [BUGGY]    options.addOption(opt);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]    options.addOption(opt);  [BUGGY]  String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	replace	    options.addOption(opt);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	4	9	add
121	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  [BUGGY]  Option  opt  =  options.getOption(option);  [BUGGY]      String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	265	265	9	add	Option  opt  =  options.getOption(option);	Option  opt  =  getOptions().getOption(option);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	1	9
122	[BUG]  [BUGGY]  Option  opt  =  options.getOption(option);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  [BUGGY]  Option  opt  =  options.getOption(option);  [BUGGY]      String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	265	265	9	replace	Option  opt  =  options.getOption(option);	Option  opt  =  getOptions().getOption(option);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	1	9	replace
123	[BUG]  [BUGGY]  Option  opt  =  options().getOption(option);  [CE]  cannot  find  symbol  [CONTEXT]  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  [BUGGY]  Option  opt  =  options().getOption(option);  [BUGGY]      String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	265	265	9	replace	Option  opt  =  options().getOption(option);	Option  opt  =  getOptions().getOption(option);  	non-compiled	[CE]  cannot  find  symbol	1	None	replace
124	[BUG]  [BUGGY]  Option  opt  =  getOptions().getOption(option,  options);  [CE]  method  getOption  in  class  Options  cannot  be  applied  to  given  types;  [CONTEXT]  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  [BUGGY]  Option  opt  =  getOptions().getOption(option,  options);  [BUGGY]      String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	265	265	9	replace	Option  opt  =  getOptions().getOption(option,  options);	Option  opt  =  getOptions().getOption(option);  	non-compiled	[CE]  method  getOption  in  class  Options  cannot  be  applied  to  given  types;	1	None	replace
132	[BUG]  [BUGGY]  for(Enumeration  e  =  properties.next();  e.hasMoreElements();)  {  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]  for(Enumeration  e  =  properties.next();  e.hasMoreElements();)  {  [BUGGY]  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	for(Enumeration  e  =  properties.next();  e.hasMoreElements();)  {	for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
133	[BUG]  [BUGGY]  for(Enumeration  e  =  properties.name();  e.hasMoreElements();)  {  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]  for(Enumeration  e  =  properties.name();  e.hasMoreElements();)  {  [BUGGY]  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	for(Enumeration  e  =  properties.name();  e.hasMoreElements();)  {	for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
134	[BUG]  [BUGGY]  for(Enumeration  e  =  properties.properties();  e.hasMoreElements();)  {  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]  for(Enumeration  e  =  properties.properties();  e.hasMoreElements();)  {  [BUGGY]  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	for(Enumeration  e  =  properties.properties();  e.hasMoreElements();)  {	for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
141	[BUG]  [BUGGY]    Option  opt  =  options.getOption(value);  [CE]  variable  opt  is  already  defined  in  method  processProperties(Properties)  [CONTEXT]  }  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  [BUGGY]    Option  opt  =  options.getOption(value);  [BUGGY]  cmd.addOption(opt);  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	295	295	9	replace	    Option  opt  =  options.getOption(value);		non-compiled	[CE]  variable  opt  is  already  defined  in  method  processProperties(Properties)	18	None	add
142	[BUG]  [BUGGY]    option  =  options.getOption(value);  [CE]  incompatible  types  [CONTEXT]  }  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  [BUGGY]    option  =  options.getOption(value);  [BUGGY]  cmd.addOption(opt);  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	295	295	9	replace	    option  =  options.getOption(value);		non-compiled	[CE]  incompatible  types	18	None	add
144	[BUG]  [BUGGY]    opt.addOption(value);  [CE]  cannot  find  symbol  [CONTEXT]  }  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  [BUGGY]    opt.addOption(value);  [BUGGY]  cmd.addOption(opt);  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	295	295	9	replace	    opt.addOption(value);		non-compiled	[CE]  cannot  find  symbol	18	None	add
145	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  }  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  [BUGGY]    options.addOption(opt);  [BUGGY]  cmd.addOption(opt);  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	295	295	9	add	    options.addOption(opt);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	18	9
146	[BUG]  [BUGGY]    options.addOption(opt);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  }  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  [BUGGY]    options.addOption(opt);  [BUGGY]  cmd.addOption(opt);  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	295	295	9	replace	    options.addOption(opt);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	18	9	add
152	[BUG]  [BUGGY]  String  option  =  e.next().toString();  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]  String  option  =  e.next().toString();  [BUGGY]    if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	String  option  =  e.next().toString();	String  option  =  e.nextElement().toString();  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
153	[BUG]  [BUGGY]  String  option  =  e.getNextElement().toString();  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]  String  option  =  e.getNextElement().toString();  [BUGGY]    if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	String  option  =  e.getNextElement().toString();	String  option  =  e.nextElement().toString();  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
154	[BUG]  [BUGGY]  String  option  =  e.nextNode().toString();  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]  String  option  =  e.nextNode().toString();  [BUGGY]    if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	String  option  =  e.nextNode().toString();	String  option  =  e.nextElement().toString();  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
161	[BUG]  [BUGGY]    cmd.addOption(option);  [CE]  method  addOption  in  class  CommandLine  cannot  be  applied  to  given  types;  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addOption(option);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	replace	    cmd.addOption(option);		non-compiled	[CE]  method  addOption  in  class  CommandLine  cannot  be  applied  to  given  types;	14	None	add
162	[BUG]  [BUGGY]    cmd.addValue(option);  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addValue(option);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	replace	    cmd.addValue(option);		non-compiled	[CE]  cannot  find  symbol	14	None	add
163	[BUG]  [BUGGY]    cmd.addValue(value);  [CE]  cannot  find  symbol  value  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addValue(value);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	replace	    cmd.addValue(value);		non-compiled	[CE]  cannot  find  symbol  value	14	None	add
164	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addArg(option);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	add	    cmd.addArg(option);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	14	9
165	[BUG]  [BUGGY]    cmd.addArg(option);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addArg(option);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	replace	    cmd.addArg(option);		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	14	9	add
165	[BUG]  [BUGGY]    cmd.addValue(option,  value);  [CE]  cannot  find  symbol  value  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  String  option  =  e.nextElement().toString();  [BUGGY]    cmd.addValue(option,  value);  [BUGGY]  if  (!cmd.hasOption(option))    {  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  if  (opt.hasArg())  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	263	264	9	replace	    cmd.addValue(option,  value);		non-compiled	[CE]  cannot  find  symbol  value	14	None	add
172	[BUG]  [BUGGY]    if(value!=  null)  {  if(opt.hasArg())  {  throw  new  IllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]    if(value!=  null)  {  if(opt.hasArg())  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  if  (opt.hasArg())    {  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	replace	    if(value!=  null)  {  if(opt.hasArg())  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
