bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
165	[BUG]  [BUGGY]    this.values.remove(index);  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]    this.values.remove(index);  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	    this.values.remove(index);		compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	18	4	add
165	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	add	    indexMap.remove(key);  keys.remove(index);		compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	18	4
166	[BUG]  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	    indexMap.remove(key);  keys.remove(index);		compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	18	4	add
172	[BUG]  [BUGGY]    int  keyIndex  =  getKeyIndex(key);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  [BUGGY]    int  keyIndex  =  getKeyIndex(key);  [BUGGY]  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  this.indexMap.put(key,  new  Integer(this.keys.size()  -  1));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	232	232	4	replace	    int  keyIndex  =  getKeyIndex(key);		non-compiled	[CE]  cannot  find  symbol	50	None	add
173	[BUG]  [BUGGY]    super.setValue(key,  value);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  [BUGGY]    super.setValue(key,  value);  [BUGGY]  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  this.indexMap.put(key,  new  Integer(this.keys.size()  -  1));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	232	232	4	replace	    super.setValue(key,  value);		non-compiled	[CE]  cannot  find  symbol	50	None	add
175	[BUG]  [BUGGY]    int  keyIndex  =  getIndex(key.getKey());  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  [BUGGY]    int  keyIndex  =  getIndex(key.getKey());  [BUGGY]  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  this.indexMap.put(key,  new  Integer(this.keys.size()  -  1));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	232	232	4	replace	    int  keyIndex  =  getIndex(key.getKey());		non-compiled	[CE]  cannot  find  symbol	50	None	add
182	[BUG]  [BUGGY]  if(!this.keys.remove(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }  [CE]  bad  operand  type  Object  for  unary  operator  '!'  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(!this.keys.remove(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(!this.keys.remove(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }	this.keys.remove(index);  	non-compiled	[CE]  bad  operand  type  Object  for  unary  operator  '!'	1	None	replace
183	[BUG]  [BUGGY]  if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  this.values.remove(index);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  this.values.remove(index);  }	this.keys.remove(index);  	non-compiled	[CE]  illegal  start  of  expression	1	None	replace
184	[BUG]  [BUGGY]  if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  rebuildIndex();  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  rebuildIndex();  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(this.keys.contains(index))  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  if(!this.values.contains(index))  {  rebuildIndex();  }	this.keys.remove(index);  	non-compiled	[CE]  illegal  start  of  expression	1	None	replace
191	[BUG]  [BUGGY]    Validate.notEmpty(key);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    Validate.notEmpty(key);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    Validate.notEmpty(key);		non-compiled	[CE]  cannot  find  symbol  Validate	48	None	add
192	[BUG]  [BUGGY]    super.setValue(key,  value);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    super.setValue(key,  value);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    super.setValue(key,  value);		non-compiled	[CE]  cannot  find  symbol	48	None	add
193	[BUG]  [BUGGY]    Validate.notEmpty(key,  value);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    Validate.notEmpty(key,  value);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    Validate.notEmpty(key,  value);		non-compiled	[CE]  cannot  find  symbol  Validate	48	None	add
194	[BUG]  [BUGGY]    this.values.setValue(key,  value);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    this.values.setValue(key,  value);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    this.values.setValue(key,  value);		non-compiled	[CE]  cannot  find  symbol	48	None	add
195	[BUG]  [BUGGY]    this.values.set(key,  value);  [CE]  no  suitable  method  found  for  set(Comparable,Number)  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    this.values.set(key,  value);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    this.values.set(key,  value);		non-compiled	[CE]  no  suitable  method  found  for  set(Comparable,Number)	48	None	add
201	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	add	    this.values.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4
202	[BUG]  [BUGGY]    this.values.remove(key);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    this.values.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4	add
202	[BUG]  [BUGGY]    Validate.notEmpty(key);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    Validate.notEmpty(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    Validate.notEmpty(key);		non-compiled	[CE]  cannot  find  symbol  Validate	10	None	add
203	[BUG]  [BUGGY]    ArrayList  <  Comparable>  indexMap  =  Lists.newArrayList();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    ArrayList  <  Comparable>  indexMap  =  Lists.newArrayList();  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    ArrayList  <  Comparable>  indexMap  =  Lists.newArrayList();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	10	None	add
204	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  values.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	add	    this.values.remove(key);  values.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4
205	[BUG]  [BUGGY]    this.values.remove(key);  values.remove(key);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  values.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    this.values.remove(key);  values.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4	add
205	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  keys.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	add	    this.values.remove(key);  keys.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4
206	[BUG]  [BUGGY]    this.values.remove(key);  keys.remove(key);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.values.remove(key);  keys.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    this.values.remove(key);  keys.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4	add
211	[BUG]  [BUGGY]  reset();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  reset();  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	reset();	rebuildIndex();  	non-compiled	[CE]  cannot  find  symbol	33	None	replace
212	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  removeValue(index);  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	add	removeValue(index);	rebuildIndex();  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	33	4
213	[BUG]  [BUGGY]  removeValue(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  removeValue(index);  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	removeValue(index);	rebuildIndex();  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	33	4	replace
213	[BUG]  [BUGGY]  fireMapChanged();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  fireMapChanged();  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	fireMapChanged();	rebuildIndex();  	non-compiled	[CE]  cannot  find  symbol	33	None	replace
214	[BUG]  [BUGGY]  removeValue();  [CE]  no  suitable  method  found  for  removeValue()  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  removeValue();  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	removeValue();	rebuildIndex();  	non-compiled	[CE]  no  suitable  method  found  for  removeValue()	33	None	replace
215	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	add	  	rebuildIndex();  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	33	4
216	[BUG]  [BUGGY]    [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	  	rebuildIndex();  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	33	4	replace
221	[BUG]  [BUGGY]  [FE]  IndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IndexOutOfBoundsException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	add	throw  new  IndexOutOfBoundsException( " ");	return;  	compilable	  [FE]  IndexOutOfBoundsException  testRemoveColumnByKey	17	4
222	[BUG]  [BUGGY]  throw  new  IndexOutOfBoundsException( " ");  [FE]  IndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IndexOutOfBoundsException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	throw  new  IndexOutOfBoundsException( " ");	return;  	compilable	  [FE]  IndexOutOfBoundsException  testRemoveColumnByKey	17	4	replace
222	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IllegalArgumentException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	add	throw  new  IllegalArgumentException( " ");	return;  	compilable	  [FE]  IllegalArgumentException  testRemoveColumnByKey	17	4
223	[BUG]  [BUGGY]  throw  new  IllegalArgumentException( " ");  [FE]  IllegalArgumentException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IllegalArgumentException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	throw  new  IllegalArgumentException( " ");	return;  	compilable	  [FE]  IllegalArgumentException  testRemoveColumnByKey	17	4	replace
