bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
131	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  getDenominatorDegreesOfFreedom();  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	add	    ret  =  getDenominatorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	14	1
132	[BUG]  [BUGGY]    ret  =  getDenominatorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  getDenominatorDegreesOfFreedom();  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	replace	    ret  =  getDenominatorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	14	1	add
132	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	add	    ret  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	14	1
133	[BUG]  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	replace	    ret  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	14	1	add
133	[BUG]  [BUGGY]    ret  =  Beta.regularizedBeta((  x  *  x)/  getNumeratorDegreesOfFreedom());  [CE]  no  suitable  method  found  for  regularizedBeta(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  Beta.regularizedBeta((  x  *  x)/  getNumeratorDegreesOfFreedom());  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	replace	    ret  =  Beta.regularizedBeta((  x  *  x)/  getNumeratorDegreesOfFreedom());		non-compiled	[CE]  no  suitable  method  found  for  regularizedBeta(double)	14	None	add
135	[BUG]  [BUGGY]    ret  =  Beta.regularizedBeta((  x  *  x)/  getDenominatorDegreesOfFreedom());  [CE]  no  suitable  method  found  for  regularizedBeta(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  [BUGGY]    ret  =  Beta.regularizedBeta((  x  *  x)/  getDenominatorDegreesOfFreedom());  [BUGGY]  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	75	75	1	replace	    ret  =  Beta.regularizedBeta((  x  *  x)/  getDenominatorDegreesOfFreedom());		non-compiled	[CE]  no  suitable  method  found  for  regularizedBeta(double)	14	None	add
142	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]  ret  =  p  /(d  -  2.0);  [BUGGY]  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	add	ret  =  p  /(d  -  2.0);	ret  =  d  /  (d  -  2.0);  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	7	1
143	[BUG]  [BUGGY]  ret  =  p  /(d  -  2.0);  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]  ret  =  p  /(d  -  2.0);  [BUGGY]  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	replace	ret  =  p  /(d  -  2.0);	ret  =  d  /  (d  -  2.0);  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	7	1	replace
151	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	    double  m  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1
152	[BUG]  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	    double  m  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1	add
152	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    double  numeratorDegreesOfFreedom  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	    double  numeratorDegreesOfFreedom  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1
153	[BUG]  [BUGGY]    double  numeratorDegreesOfFreedom  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    double  numeratorDegreesOfFreedom  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	    double  numeratorDegreesOfFreedom  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1	add
153	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	    ret  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1
154	[BUG]  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom();  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	    ret  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1	add
154	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom()  *  p;  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	    ret  =  getNumeratorDegreesOfFreedom()  *  p;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1
155	[BUG]  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom()  *  p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    ret  =  getNumeratorDegreesOfFreedom()  *  p;  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	    ret  =  getNumeratorDegreesOfFreedom()  *  p;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	6	1	add
155	[BUG]  [BUGGY]    if(p  <  0.0)  {  ret  =  getNumeratorDegreesOfFreedom();  if(p  >  0.0)  {  return  ret;  }  [CE]  illegal  start  of  expression  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    if(p  <  0.0)  {  ret  =  getNumeratorDegreesOfFreedom();  if(p  >  0.0)  {  return  ret;  }  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	    if(p  <  0.0)  {  ret  =  getNumeratorDegreesOfFreedom();  if(p  >  0.0)  {  return  ret;  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
163	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  >  3)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	add	if(p  ==  0  ||  p  >  3)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1
164	[BUG]  [BUGGY]  if(p  ==  0  ||  p  >  3)  {  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  >  3)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	if(p  ==  0  ||  p  >  3)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1	replace
171	[BUG]  [BUGGY]    if(p  ==  2)  {  if(p  >  0)  {  return  Double.POSITIVE_INFINITY;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]    if(p  ==  2)  {  if(p  >  0)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	    if(p  ==  2)  {  if(p  >  0)  {  return  Double.POSITIVE_INFINITY;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
172	[BUG]  [BUGGY]    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  0;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  0;  }  [BUGGY]  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  0;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
173	[BUG]  [BUGGY]    if(p  ==  2)  {  if(p  >  0)  {  return  0;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]    if(p  ==  2)  {  if(p  >  0)  {  return  0;  }  [BUGGY]  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	    if(p  ==  2)  {  if(p  >  0)  {  return  0;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
174	[BUG]  [BUGGY]    if(p  ==  2)  {  if(p.equals(getNumberForward()))  {  return  0;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]    if(p  ==  2)  {  if(p.equals(getNumberForward()))  {  return  0;  }  [BUGGY]  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	    if(p  ==  2)  {  if(p.equals(getNumberForward()))  {  return  0;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
175	[BUG]  [BUGGY]    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  p;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  p;  }  [BUGGY]  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	    if(p  ==  2)  {  if(p.equals(Math.PI))  {  return  p;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
182	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  +  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	add	return  Double.MAX_VALUE  +  p;	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1
183	[BUG]  [BUGGY]  return  Double.MAX_VALUE  +  p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  +  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	return  Double.MAX_VALUE  +  p;	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1	replace
184	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  -  1;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	add	return  Double.MAX_VALUE  -  1;	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1
185	[BUG]  [BUGGY]  return  Double.MAX_VALUE  -  1;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  -  1;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	return  Double.MAX_VALUE  -  1;	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1	replace
191	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  [BUGGY]    n  =  getNumeratorDegreesOfFreedom();  [BUGGY]  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),    0.5  *  n,        0.5  *  m);  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	78	80	1	add	    n  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	18	1
