bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]  if(selected  ==  null  ||  option.equals(option.getOpt()))  {  [BUGGY]  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	add	if(selected  ==  null  ||  option.equals(option.getOpt()))  {	if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	1	3
94	[BUG]  [BUGGY]  return(option.hasOption(option))?  this  :  option;  [CE]  cannot  find  symbol  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]  return(option.hasOption(option))?  this  :  option;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	return(option.hasOption(option))?  this  :  option;	return  this;  	non-compiled	[CE]  cannot  find  symbol	15	None	replace
103	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  void  setSelected(Option  option)  throws  AlreadySelectedException  {  [BUGGY]  if(option  ==  null  ||  optionMap.size()  ==  0)  {  [BUGGY]  {  selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	88	89	3	add	if(option  ==  null  ||  optionMap.size()  ==  0)  {	if  (option  ==  null)  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	19	3
104	[BUG]  [BUGGY]  if(option  ==  null  ||  optionMap.size()  ==  0)  {  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  void  setSelected(Option  option)  throws  AlreadySelectedException  {  [BUGGY]  if(option  ==  null  ||  optionMap.size()  ==  0)  {  [BUGGY]  {  selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	88	89	3	replace	if(option  ==  null  ||  optionMap.size()  ==  0)  {	if  (option  ==  null)  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	19	3	replace
104	[BUG]  [BUGGY]  if(option  ==  null  ||  optionMap.hasOption(option))  {  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setSelected(Option  option)  throws  AlreadySelectedException  {  [BUGGY]  if(option  ==  null  ||  optionMap.hasOption(option))  {  [BUGGY]  {  selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	88	89	3	replace	if(option  ==  null  ||  optionMap.hasOption(option))  {	if  (option  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol	19	None	replace
111	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	add	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	2	3
112	[BUG]  [BUGGY]    optionMap.put(option.getKey(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	2	3	add
112	[BUG]  [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getLongOpt()))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getLongOpt()))  {  return;  }  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getLongOpt()))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
113	[BUG]  [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getLongOpt()))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getLongOpt()))  {  return;  }  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getLongOpt()))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
114	[BUG]  [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getValue()))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getValue()))  {  return;  }  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	    if(optionMap.containsKey(option.getKey()))  {  if(selected.equals(option.getValue()))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
115	[BUG]  [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getValue()))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getValue()))  {  return;  }  [BUGGY]  if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	    if(optionMap.containsKey(option.getKey()))  {  if(!selected.equals(option.getValue()))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
121	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	add	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3
122	[BUG]  [BUGGY]    optionMap.put(option.getKey(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3	add
122	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getLongOpt(),  selected);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	add	    optionMap.put(option.getLongOpt(),  selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3
123	[BUG]  [BUGGY]    optionMap.put(option.getLongOpt(),  selected);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getLongOpt(),  selected);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	    optionMap.put(option.getLongOpt(),  selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3	add
123	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.remove(selected);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	add	    optionMap.remove(selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3
124	[BUG]  [BUGGY]    optionMap.remove(selected);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.remove(selected);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	    optionMap.remove(selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3	add
124	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getLongOpt(),  option);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	add	    optionMap.put(option.getLongOpt(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3
125	[BUG]  [BUGGY]    optionMap.put(option.getLongOpt(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    optionMap.put(option.getLongOpt(),  option);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	    optionMap.put(option.getLongOpt(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	4	3	add
125	[BUG]  [BUGGY]    Option  optionMap.put(option.getKey(),  option);  [CE]  ';'  expected  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]    Option  optionMap.put(option.getKey(),  option);  [BUGGY]  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	    Option  optionMap.put(option.getKey(),  option);		non-compiled	[CE]  ';'  expected	4	None	add
131	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  private  final  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	add	private  final  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3
132	[BUG]  [BUGGY]  private  final  Map  optionMap  =  new  HashMap();  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  private  final  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	private  final  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3	replace
133	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  public  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	add	public  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3
134	[BUG]  [BUGGY]  public  Map  optionMap  =  new  HashMap();  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  public  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	public  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3	replace
134	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  protected  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	add	protected  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3
135	[BUG]  [BUGGY]  protected  Map  optionMap  =  new  HashMap();  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    [BUGGY]  protected  Map  optionMap  =  new  HashMap();  [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	protected  Map  optionMap  =  new  HashMap();	private  Map  optionMap  =  new  HashMap();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	11	3	replace
135	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  optionMap  [CONTEXT]    [BUGGY]    [BUGGY]    [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	  	private  Map  optionMap  =  new  HashMap();  	non-compiled	[CE]  cannot  find  symbol  optionMap	11	None	replace
141	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    optionMap.put(option.getValue(),  option);  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	add	    optionMap.put(option.getValue(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	14	3
142	[BUG]  [BUGGY]    optionMap.put(option.getValue(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    optionMap.put(option.getValue(),  option);  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	    optionMap.put(option.getValue(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	14	3	add
142	[BUG]  [BUGGY]    OptionMap.put(option.getValue(),  option);  [CE]  cannot  find  symbol  OptionMap  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    OptionMap.put(option.getValue(),  option);  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	    OptionMap.put(option.getValue(),  option);		non-compiled	[CE]  cannot  find  symbol  OptionMap	14	None	add
143	[BUG]  [BUGGY]    optionMap.put(option.getLongValue(),  option);  [CE]  cannot  find  symbol  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    optionMap.put(option.getLongValue(),  option);  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	    optionMap.put(option.getLongValue(),  option);		non-compiled	[CE]  cannot  find  symbol	14	None	add
144	[BUG]  [BUGGY]    option  =  option.getValue();  [CE]  incompatible  types  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    option  =  option.getValue();  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	    option  =  option.getValue();		non-compiled	[CE]  incompatible  types	14	None	add
145	[BUG]  [BUGGY]    option  =  option.getOption();  [CE]  cannot  find  symbol  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]    option  =  option.getOption();  [BUGGY]  optionMap.put(option.getKey(),  option);  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	    option  =  option.getOption();		non-compiled	[CE]  cannot  find  symbol	14	None	add
151	[BUG]  [BUGGY]    optionMap  =  new  HashMap();  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    optionMap  =  new  HashMap();  [BUGGY]  private  Map  optionMap  =  new  HashMap();  [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	    optionMap  =  new  HashMap();		non-compiled	[CE]  <identifier>  expected	12	None	add
152	[BUG]  [BUGGY]    optionMap.put(OptionGroup.LONG,  true);  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    optionMap.put(OptionGroup.LONG,  true);  [BUGGY]  private  Map  optionMap  =  new  HashMap();  [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	    optionMap.put(OptionGroup.LONG,  true);		non-compiled	[CE]  <identifier>  expected	12	None	add
153	[BUG]  [BUGGY]    return  new  HashMap();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  HashMap();  [BUGGY]  private  Map  optionMap  =  new  HashMap();  [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	    return  new  HashMap();		non-compiled	[CE]  illegal  start  of  type	12	None	add
154	[BUG]  [BUGGY]    optionMap.put(OptionGroup.LONG_ROOT,  true);  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    optionMap.put(OptionGroup.LONG_ROOT,  true);  [BUGGY]  private  Map  optionMap  =  new  HashMap();  [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	    optionMap.put(OptionGroup.LONG_ROOT,  true);		non-compiled	[CE]  <identifier>  expected	12	None	add
155	[BUG]  [BUGGY]    return  optionMap.values();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  optionMap.values();  [BUGGY]  private  Map  optionMap  =  new  HashMap();  [CLASS]  OptionGroup  [VARIABLES]  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	37	37	3	replace	    return  optionMap.values();		non-compiled	[CE]  illegal  start  of  type	12	None	add
163	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]  return  this.optionMap.values();  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	add	return  this.optionMap.values();	return  optionMap.values();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	17	3
164	[BUG]  [BUGGY]  return  this.optionMap.values();  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]  return  this.optionMap.values();  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	return  this.optionMap.values();	return  optionMap.values();  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	17	3	replace
164	[BUG]  [BUGGY]  return  optionMap.size();  [CE]  incompatible  types  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]  return  optionMap.size();  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	return  optionMap.size();	return  optionMap.values();  	non-compiled	[CE]  incompatible  types	17	None	replace
173	[BUG]  [BUGGY]  optionMap.put(option.getLongKey(),  option);  [CE]  cannot  find  symbol  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    [BUGGY]  optionMap.put(option.getLongKey(),  option);  [BUGGY]    return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	55	55	3	replace	optionMap.put(option.getLongKey(),  option);	optionMap.put(option.getKey(),  option);  	non-compiled	[CE]  cannot  find  symbol	13	None	replace
