bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]    result  +=  getCount(v);  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	add	    result  +=  getCount(v);		compilable	  [FE]  AssertionFailedError  testPcts	18	1
62	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.longValue()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  new  Long(v.longValue()));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  new  Long(v.longValue()));		non-compiled	[CE]  long  cannot  be  dereferenced	14	None	add
63	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(V.valueOf(v)));  [CE]  cannot  find  symbol  V  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  new  Long(V.valueOf(v)));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  new  Long(V.valueOf(v)));		non-compiled	[CE]  cannot  find  symbol  V	14	None	add
64	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.length()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  new  Long(v.length()));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  new  Long(v.length()));		non-compiled	[CE]  long  cannot  be  dereferenced	14	None	add
65	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.getLong()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  new  Long(v.getLong()));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  new  Long(v.getLong()));		non-compiled	[CE]  long  cannot  be  dereferenced	14	None	add
71	[BUG]  [BUGGY]    System.arraycopy(v,  0,  sumFreq,  0,  v.length);  [CE]  cannot  find  symbol  length  [CONTEXT]  public  double  getPct(Comparable<?>  v)  {  final  long  sumFreq  =  getSumFreq();  if  (sumFreq  ==  0)  {  return  Double.NaN;  }  [BUGGY]    System.arraycopy(v,  0,  sumFreq,  0,  v.length);  [BUGGY]  return  (double)  getCount(v)  /  (double)  sumFreq;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Comparable<?>  v  [VARIABLES]  Comparable  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	320	320	1	replace	    System.arraycopy(v,  0,  sumFreq,  0,  v.length);		non-compiled	[CE]  cannot  find  symbol  length	16	None	add
72	[BUG]  [BUGGY]    if(v!=  null)  {  if(v.length  >  0)  {  return  Double.NaN;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(Comparable<?>  v)  {  final  long  sumFreq  =  getSumFreq();  if  (sumFreq  ==  0)  {  return  Double.NaN;  }  [BUGGY]    if(v!=  null)  {  if(v.length  >  0)  {  return  Double.NaN;  }  [BUGGY]  return  (double)  getCount(v)  /  (double)  sumFreq;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Comparable<?>  v  [VARIABLES]  Comparable  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	320	320	1	replace	    if(v!=  null)  {  if(v.length  >  0)  {  return  Double.NaN;  }		non-compiled	[CE]  illegal  start  of  expression	16	None	add
73	[BUG]  [BUGGY]    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  Double.NaN;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(Comparable<?>  v)  {  final  long  sumFreq  =  getSumFreq();  if  (sumFreq  ==  0)  {  return  Double.NaN;  }  [BUGGY]    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  Double.NaN;  }  [BUGGY]  return  (double)  getCount(v)  /  (double)  sumFreq;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Comparable<?>  v  [VARIABLES]  Comparable  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	320	320	1	replace	    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  Double.NaN;  }		non-compiled	[CE]  illegal  start  of  expression	16	None	add
74	[BUG]  [BUGGY]    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  (double)getCount();  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(Comparable<?>  v)  {  final  long  sumFreq  =  getSumFreq();  if  (sumFreq  ==  0)  {  return  Double.NaN;  }  [BUGGY]    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  (double)getCount();  }  [BUGGY]  return  (double)  getCount(v)  /  (double)  sumFreq;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Comparable<?>  v  [VARIABLES]  Comparable  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	320	320	1	replace	    if(v!=  null)  {  if(v.getCount()  >  1)  {  return  (double)getCount();  }		non-compiled	[CE]  illegal  start  of  expression	16	None	add
81	[BUG]  [BUGGY]    long  result  =  getPct(new  Long(v));  [CE]  possible  loss  of  precision  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    long  result  =  getPct(new  Long(v));  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    long  result  =  getPct(new  Long(v));		non-compiled	[CE]  possible  loss  of  precision	6	None	add
82	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    long  result  =  getSumFreq();  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	add	    long  result  =  getSumFreq();		compilable	  [FE]  AssertionFailedError  testPcts	6	1
83	[BUG]  [BUGGY]    long  result  =  getSumFreq();  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    long  result  =  getSumFreq();  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    long  result  =  getSumFreq();		compilable	  [FE]  AssertionFailedError  testPcts	6	1	add
83	[BUG]  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MIN_VALUE)  {  return  result;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MIN_VALUE)  {  return  result;  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MIN_VALUE)  {  return  result;  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
84	[BUG]  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MAX_VALUE)  {  return  double;  }  [CE]  '.class'  expected  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MAX_VALUE)  {  return  double;  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  Long.MAX_VALUE)  {  return  double;  }		non-compiled	[CE]  '.class'  expected	6	None	add
85	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    long  result  =  getSumFreq()  *  v;  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	add	    long  result  =  getSumFreq()  *  v;		compilable	  [FE]  AssertionFailedError  testPcts	6	1
86	[BUG]  [BUGGY]    long  result  =  getSumFreq()  *  v;  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    long  result  =  getSumFreq()  *  v;  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    long  result  =  getSumFreq()  *  v;		compilable	  [FE]  AssertionFailedError  testPcts	6	1	add
92	[BUG]  [BUGGY]  return  getPct(Long.parseLong(v));  [CE]  no  suitable  method  found  for  parseLong(int)  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]  return  getPct(Long.parseLong(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	return  getPct(Long.parseLong(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  no  suitable  method  found  for  parseLong(int)	5	None	replace
93	[BUG]  [BUGGY]  return  getPct(FREQUENCY.valueOf(v));  [CE]  cannot  find  symbol  FREQUENCY  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]  return  getPct(FREQUENCY.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	return  getPct(FREQUENCY.valueOf(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol  FREQUENCY	5	None	replace
94	[BUG]  [BUGGY]  return  getPct(Long.get(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]  return  getPct(Long.get(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	return  getPct(Long.get(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
101	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.longValue()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  new  Long(v.longValue()));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  new  Long(v.longValue()));		non-compiled	[CE]  long  cannot  be  dereferenced	12	None	add
104	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.length()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  new  Long(v.length()));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  new  Long(v.length()));		non-compiled	[CE]  long  cannot  be  dereferenced	12	None	add
105	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v.getLong()));  [CE]  long  cannot  be  dereferenced  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  new  Long(v.getLong()));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  new  Long(v.getLong()));		non-compiled	[CE]  long  cannot  be  dereferenced	12	None	add
112	[BUG]  [BUGGY]  setValue(Long.valueOf(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]  setValue(Long.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	setValue(Long.valueOf(v));	addValue(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
113	[BUG]  [BUGGY]  add(Long.valueOf(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]  add(Long.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	add(Long.valueOf(v));	addValue(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
122	[BUG]  [BUGGY]  return  getCumFreq(Long.parseLong(v));  [CE]  no  suitable  method  found  for  parseLong(long)  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]  return  getCumFreq(Long.parseLong(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	return  getCumFreq(Long.parseLong(v));	return  getCumFreq(Long.valueOf(v));  	non-compiled	[CE]  no  suitable  method  found  for  parseLong(long)	9	None	replace
124	[BUG]  [BUGGY]  return  getCumFreq(Long.toLongBits(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]  return  getCumFreq(Long.toLongBits(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	return  getCumFreq(Long.toLongBits(v));	return  getCumFreq(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
125	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	  	return  getCumFreq(Long.valueOf(v));  	non-compiled	[CE]  missing  return  statement	9	None	replace
131	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  Long.valueOf(0));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	add	    freqTable.put(obj,  Long.valueOf(0));		compilable	  [FE]  AssertionFailedError  testPcts	20	1
132	[BUG]  [BUGGY]    freqTable.put(obj,  Long.valueOf(0));  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  Long.valueOf(0));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	replace	    freqTable.put(obj,  Long.valueOf(0));		compilable	  [FE]  AssertionFailedError  testPcts	20	1	add
135	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  Long.valueOf(2));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	add	    freqTable.put(obj,  Long.valueOf(2));		compilable	  [FE]  AssertionFailedError  testPcts	20	1
136	[BUG]  [BUGGY]    freqTable.put(obj,  Long.valueOf(2));  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  Long.valueOf(2));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	replace	    freqTable.put(obj,  Long.valueOf(2));		compilable	  [FE]  AssertionFailedError  testPcts	20	1	add
152	[BUG]  [BUGGY]  return  getCumFreq(((Integer)v).longValue(),  value);  [CE]  cannot  find  symbol  value  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]  return  getCumFreq(((Integer)v).longValue(),  value);  [BUGGY]  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	return  getCumFreq(((Integer)v).longValue(),  value);	return  getCumFreq(((Integer)  v).longValue());  	non-compiled	[CE]  cannot  find  symbol  value	7	None	replace
153	[BUG]  [BUGGY]  return  getSumFreq(((Integer)v).longValue());  [CE]  method  getSumFreq  in  class  Frequency  cannot  be  applied  to  given  types;  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]  return  getSumFreq(((Integer)v).longValue());  [BUGGY]  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	return  getSumFreq(((Integer)v).longValue());	return  getCumFreq(((Integer)  v).longValue());  	non-compiled	[CE]  method  getSumFreq  in  class  Frequency  cannot  be  applied  to  given  types;	7	None	replace
171	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    long  result  =  freqTable.get(v);  [BUGGY]  return  getCumFreq(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	add	    long  result  =  freqTable.get(v);		compilable	  [FE]  AssertionFailedError  testPcts	10	1
172	[BUG]  [BUGGY]    long  result  =  freqTable.get(v);  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    long  result  =  freqTable.get(v);  [BUGGY]  return  getCumFreq(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	    long  result  =  freqTable.get(v);		compilable	  [FE]  AssertionFailedError  testPcts	10	1	add
