bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
84	[BUG]  [BUGGY]    double  min  =  Math.min(initial,  max);  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(initial,  max);  solve(min,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(initial,  max);  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
85	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    initial  =  solve(min,  max);  initial  =  solve(initial,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    initial  =  solve(min,  max);  initial  =  solve(initial,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1
86	[BUG]  [BUGGY]    initial  =  solve(min,  max);  initial  =  solve(initial,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    initial  =  solve(min,  max);  initial  =  solve(initial,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    initial  =  solve(min,  max);  initial  =  solve(initial,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
91	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	8	None	add
92	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  cannot  find  symbol  fm  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  cannot  find  symbol  fm	8	None	add
93	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	8	None	add
103	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1E-7);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	add	super(100,  1E-7);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1
104	[BUG]  [BUGGY]  super(100,  1E-7);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1E-7);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	super(100,  1E-7);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1	replace
104	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  2E-6);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	add	super(100,  2E-6);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1
105	[BUG]  [BUGGY]  super(100,  2E-6);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  2E-6);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	super(100,  2E-6);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1	replace
114	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  while(i  <=  maximalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	add	while(i  <=  maximalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	compilable	  [FE]  NullPointerException  testMath369	11	1
115	[BUG]  [BUGGY]  while(i  <=  maximalIterationCount)  {  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  while(i  <=  maximalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	while(i  <=  maximalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	compilable	  [FE]  NullPointerException  testMath369	11	1	replace
122	[BUG]  [BUGGY]  m  =  UnvariateRealSolverUtils.midpoint(min,  max);  [CE]  cannot  find  symbol  UnvariateRealSolverUtils  [CONTEXT]    [BUGGY]  m  =  UnvariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	m  =  UnvariateRealSolverUtils.midpoint(min,  max);	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  cannot  find  symbol  UnvariateRealSolverUtils	13	None	replace
125	[BUG]  [BUGGY]    [CE]  variable  m  might  not  have  been  initialized  [CONTEXT]    [BUGGY]    [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	  	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  variable  m  might  not  have  been  initialized	13	None	replace
131	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    fm  =  f.value(m);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	add	    fm  =  f.value(m);		compilable	  [FE]  NullPointerException  testMath369	16	1
132	[BUG]  [BUGGY]    fm  =  f.value(m);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    fm  =  f.value(m);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    fm  =  f.value(m);		compilable	  [FE]  NullPointerException  testMath369	16	1	add
132	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
133	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  max  =  m;  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  max  =  m;  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  max  =  m;  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
134	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  min  =  m;  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  min  =  m;  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  if(fm  *  fmin  >  0.0)  {  min  =  m;  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
135	[BUG]  [BUGGY]    if(f.value(max)  <  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  <  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  <  0.0)  {  if(fm  *  fmin  >  0.0)  {  m  =  f.value(max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
141	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(initial,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	return  solve(initial,  max);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1
142	[BUG]  [BUGGY]  return  solve(initial,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(initial,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(initial,  max);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1	replace
143	[BUG]  [BUGGY]  [FE]  MathRuntimeException$4  testMath369  [CONTEXT]    [BUGGY]  return  solve(initial,  min,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	return  solve(initial,  min,  max);	return  solve(min,  max);  	compilable	  [FE]  MathRuntimeException$4  testMath369	1	1
144	[BUG]  [BUGGY]  return  solve(initial,  min,  max);  [FE]  MathRuntimeException$4  testMath369  [CONTEXT]    [BUGGY]  return  solve(initial,  min,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(initial,  min,  max);	return  solve(min,  max);  	compilable	  [FE]  MathRuntimeException$4  testMath369	1	1	replace
144	[BUG]  [BUGGY]  return  solve(minimum,  max);  [CE]  cannot  find  symbol  minimum  [CONTEXT]    [BUGGY]  return  solve(minimum,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(minimum,  max);	return  solve(min,  max);  	non-compiled	[CE]  cannot  find  symbol  minimum	1	None	replace
152	[BUG]  [BUGGY]  if(fmin  >  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [CE]  cannot  find  symbol  fmax  [CONTEXT]    [BUGGY]  if(fmin  >  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [BUGGY]  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	if(fmin  >  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }	fmin  =  f.value(min);  	non-compiled	[CE]  cannot  find  symbol  fmax	15	None	replace
154	[BUG]  [BUGGY]  if(fmin  >  max)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [CE]  cannot  find  symbol  fmax  [CONTEXT]    [BUGGY]  if(fmin  >  max)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [BUGGY]  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	if(fmin  >  max)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }	fmin  =  f.value(min);  	non-compiled	[CE]  cannot  find  symbol  fmax	15	None	replace
172	[BUG]  [BUGGY]  ensureInterval(min,max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  ensureInterval(min,max);  [BUGGY]  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	ensureInterval(min,max);	verifyInterval(min,max);  	non-compiled	[CE]  cannot  find  symbol	7	None	replace
173	[BUG]  [BUGGY]  checkInterval(min,max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  checkInterval(min,max);  [BUGGY]  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	checkInterval(min,max);	verifyInterval(min,max);  	non-compiled	[CE]  cannot  find  symbol	7	None	replace
174	[BUG]  [BUGGY]  verifyInterval(min,max),  max);  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  verifyInterval(min,max),  max);  [BUGGY]  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	verifyInterval(min,max),  max);	verifyInterval(min,max);  	non-compiled	[CE]  ';'  expected	7	None	replace
181	[BUG]  [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
182	[BUG]  [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  incompatible  types  [CONTEXT]    [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    f  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  incompatible  types	10	None	add
183	[BUG]  [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
184	[BUG]  [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    double  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  max  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
185	[BUG]  [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
191	[BUG]  [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  incompatible  types  [CONTEXT]    [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    f  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  incompatible  types	14	None	add
192	[BUG]  [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  incompatible  types  [CONTEXT]    [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  incompatible  types	14	None	add
